"ID","PC1","PC2","PC3","PC4","CHI"
1,-0.25828489450862,-1.07290784397811,0.50107844078764,0.930510849662773,0.31
2,-0.121877035278785,0.182074957652517,1.15801873808768,-0.157028829433141,0.29
3,-1.03026881872013,1.43032910580908,0.427592313233535,-1.5036886608383,0.5
4,0.652310364969547,0.660089449765175,0.0341057153489165,0.489603406502671,0.22
5,-0.201165721415289,0.431324077493542,0.989079707069123,1.7249372168372,0.34
6,-1.0289237713778,-0.0448665716136552,-0.385124352871543,0.497712084193041,0.25
7,1.27815408380674,-0.622281083470885,0.328266954165119,-0.597715452674503,0.31
8,0.355951510149463,0.587456598086197,-0.375319229432064,-1.07211430856095,0.28
9,-0.694724682455127,1.48847462508246,0.172915180865209,0.214713650197218,0.33
10,-0.734087412084122,-1.02392464576512,0.196572329280972,-1.18414963237863,0.41
12,0.312913564204635,-0.250293606473204,-0.957173138767861,0.200571007383183,0.23
13,1.60958328792344,0.276509061854312,-1.03268511053183,0.135216589895479,0.27
14,-1.20244497944362,-1.15113981978449,-1.46237056825086,-0.0776496012689458,0.42
