"ID","PC1","PC2","PC3","CHI"
1,-0.0395343175572256,-0.0279492144470318,-0.290474475468544,0.15
2,-0.866001519210123,-0.415495207798262,1.04115124814656,0.32
3,1.44553448741456,0.743131622570382,-0.0687408476480766,0.31
4,-1.70435913771351,0.38582913208441,-0.495717276572667,0.38
5,0.763515570857474,-1.07120860674524,0.22213363469421,0.29
6,-0.0826837271291234,0.988339367216691,-1.48047123526493,0.34
7,0.863437995250303,-0.534725108565641,-1.23228893325352,0.22
8,-0.24047378028528,1.35384773511884,0.346239035359698,0.31
9,-0.717623300022777,-1.40528740080681,-0.577030180537911,0.33
10,0.666559813755597,0.120339121410696,1.54022866708786,0.37
